N,metodo,erro_medio,desvio
4300,Fibonacci,0.0007258830129180476,0.0
4300,aleatório,0.0013872473613833123,1.2720060235627574e-05
4350,Fibonacci,0.0007174333454666164,0.0
4350,aleatório,0.001363145327450854,5.408023458040759e-06
4400,Fibonacci,0.00070917038975563,0.0
4400,aleatório,0.0013560824552634806,2.298805698380452e-05
4450,Fibonacci,0.0007010887059505293,0.0
4450,aleatório,0.0013377912779667846,2.5790546063076588e-06
4500,Fibonacci,0.0006931830475850094,0.0
4500,aleatório,0.001321743446428169,9.223195725405645e-06
4550,Fibonacci,0.0006854483517398902,0.0
4550,aleatório,0.0013139473862929477,1.4593627941773238e-05
4600,Fibonacci,0.0006778797300493558,0.0
4600,aleatório,0.0013017471080924326,6.294556753181407e-06
4650,Fibonacci,0.0006704724606353507,0.0
4650,aleatório,0.0012996665973447627,1.8821476607737378e-05
4700,Fibonacci,0.0006632219806086803,0.0
4700,aleatório,0.0012803999918360276,1.5866979919571875e-05
4750,Fibonacci,0.0006561238792268597,0.0
4750,aleatório,0.0012572937665794436,8.660188245276445e-06
4800,Fibonacci,0.000649173891492718,0.0
4800,aleatório,0.0012460738257440878,1.3284307534887313e-05
4850,Fibonacci,0.0006423678922609005,0.0
4850,aleatório,0.0012365857345886244,2.38124093919733e-05
4900,Fibonacci,0.0006357018906344386,0.0
4900,aleatório,0.0012229279217138786,1.449596597454077e-05
4950,Fibonacci,0.0006291720247350695,0.0
4950,aleatório,0.0012087909514288482,1.1884653242553937e-05
5000,Fibonacci,0.0006227745568099884,0.0
5000,aleatório,0.0012103350192917356,5.240851194492337e-06
