ativacao,entrada,epoca,modo,residuo
Tanh,coordenadas do círculo,1500,1,2.0423158968205404e-05
Tanh,coordenadas do círculo,1500,3,8.123956380666157e-05
Tanh,coordenadas do círculo,1500,9,0.0008242856157689013
Tanh,coordenadas do círculo,1500,17,0.009111371231189753
Tanh,coordenadas do círculo,1520,1,1.8314134086775826e-05
Tanh,coordenadas do círculo,1520,3,7.226667747382329e-05
Tanh,coordenadas do círculo,1520,9,0.0008266702137839951
Tanh,coordenadas do círculo,1520,17,0.00867155396353487
Tanh,coordenadas do círculo,1540,1,1.45882756769431e-05
Tanh,coordenadas do círculo,1540,3,6.51732432705394e-05
Tanh,coordenadas do círculo,1540,9,0.0008239392151763243
Tanh,coordenadas do círculo,1540,17,0.008268945125737838
Tanh,coordenadas do círculo,1560,1,1.0594369000373697e-05
Tanh,coordenadas do círculo,1560,3,5.745985748626731e-05
Tanh,coordenadas do círculo,1560,9,0.0008169651667106002
Tanh,coordenadas do círculo,1560,17,0.007899618838072954
Tanh,coordenadas do círculo,1580,1,9.781601540584724e-06
Tanh,coordenadas do círculo,1580,3,5.058952244962637e-05
Tanh,coordenadas do círculo,1580,9,0.0008073888576810647
Tanh,coordenadas do círculo,1580,17,0.007559588588626447
Tanh,coordenadas do círculo,1600,1,8.100226612746743e-06
Tanh,coordenadas do círculo,1600,3,4.411253514859817e-05
Tanh,coordenadas do círculo,1600,9,0.0007949863857080245
Tanh,coordenadas do círculo,1600,17,0.007245640072240235
Tanh,coordenadas do círculo,1620,1,5.801263657554022e-06
Tanh,coordenadas do círculo,1620,3,3.732506384413966e-05
Tanh,coordenadas do círculo,1620,9,0.0007804131210185445
Tanh,coordenadas do círculo,1620,17,0.006954823446224944
Tanh,coordenadas do círculo,1640,1,4.702134779065199e-06
Tanh,coordenadas do círculo,1640,3,3.1342130790238997e-05
Tanh,coordenadas do círculo,1640,9,0.0007646290549014342
Tanh,coordenadas do círculo,1640,17,0.006684545784475303
Tanh,coordenadas do círculo,1660,1,2.759522026231626e-06
Tanh,coordenadas do círculo,1660,3,2.4721063029706186e-05
Tanh,coordenadas do círculo,1660,9,0.0007471071513983389
Tanh,coordenadas do círculo,1660,17,0.006432462005149828
Tanh,coordenadas do círculo,1680,1,3.1078375103429857e-06
Tanh,coordenadas do círculo,1680,3,2.0028967498992504e-05
Tanh,coordenadas do círculo,1680,9,0.0007294547009204256
Tanh,coordenadas do círculo,1680,17,0.006196527955610988
Tanh,coordenadas do círculo,1700,1,1.0393388201468748e-06
Tanh,coordenadas do círculo,1700,3,1.4457353222122877e-05
Tanh,coordenadas do círculo,1700,9,0.0007103294853693193
Tanh,coordenadas do círculo,1700,17,0.005975301117213109
Tanh,coordenadas do círculo,1720,1,4.1913254974676643e-07
Tanh,coordenadas do círculo,1720,3,9.70637465895638e-06
Tanh,coordenadas do círculo,1720,9,0.0006913577522142435
Tanh,coordenadas do círculo,1720,17,0.005766973216760595
Tanh,coordenadas do círculo,1740,1,9.783960618740849e-07
Tanh,coordenadas do círculo,1740,3,5.137304629860049e-06
Tanh,coordenadas do círculo,1740,9,0.0006724518977908146
Tanh,coordenadas do círculo,1740,17,0.0055703206001685044
Tanh,coordenadas do círculo,1760,1,1.0855719109421426e-05
Tanh,coordenadas do círculo,1760,3,1.5037991238291896e-06
Tanh,coordenadas do círculo,1760,9,0.0006502647037445831
Tanh,coordenadas do círculo,1760,17,0.005385008873340128
Tanh,coordenadas do círculo,1780,1,0.000741774038570214
Tanh,coordenadas do círculo,1780,3,0.00011069430961357605
Tanh,coordenadas do círculo,1780,9,0.0004483872548748769
Tanh,coordenadas do círculo,1780,17,0.005244014540628468
Tanh,coordenadas do círculo,1800,1,0.0024171289414495743
Tanh,coordenadas do círculo,1800,3,0.0001772568081035244
Tanh,coordenadas do círculo,1800,9,0.0011361928392186601
Tanh,coordenadas do círculo,1800,17,0.004934964852167296
Tanh,coordenadas do círculo,1820,1,0.001161373965123936
Tanh,coordenadas do círculo,1820,3,3.119600316295312e-05
Tanh,coordenadas do círculo,1820,9,0.0003541508698424276
Tanh,coordenadas do círculo,1820,17,0.004921398308191633
Tanh,coordenadas do círculo,1840,1,0.0004440009389787212
Tanh,coordenadas do círculo,1840,3,2.046339048538867e-05
Tanh,coordenadas do círculo,1840,9,0.000665580739548493
Tanh,coordenadas do círculo,1840,17,0.004707013160364921
Tanh,coordenadas do círculo,1860,1,0.00019642580178957797
Tanh,coordenadas do círculo,1860,3,3.7397166922555816e-05
Tanh,coordenadas do círculo,1860,9,0.0005966419869146549
Tanh,coordenadas do círculo,1860,17,0.004574468936235911
Tanh,coordenadas do círculo,1880,1,5.576550503936175e-05
Tanh,coordenadas do círculo,1880,3,9.887158257865548e-06
Tanh,coordenadas do círculo,1880,9,0.0005332671445547606
Tanh,coordenadas do círculo,1880,17,0.004447495309640763
Tanh,coordenadas do círculo,1900,1,0.00013619610441716715
Tanh,coordenadas do círculo,1900,3,2.81656892522321e-05
Tanh,coordenadas do círculo,1900,9,0.0005545191148885407
Tanh,coordenadas do círculo,1900,17,0.004308191962056762
Tanh,coordenadas do círculo,1920,1,0.006586730534760106
Tanh,coordenadas do círculo,1920,3,0.00046186416851534494
Tanh,coordenadas do círculo,1920,9,0.0017702489997952545
Tanh,coordenadas do círculo,1920,17,0.003931821170873052
Tanh,coordenadas do círculo,1940,1,0.002818774514487704
Tanh,coordenadas do círculo,1940,3,0.0002838936331760313
Tanh,coordenadas do círculo,1940,9,0.0009658910825541616
Tanh,coordenadas do círculo,1940,17,0.003954652565360961
Tanh,coordenadas do círculo,1960,1,0.001391067914964203
Tanh,coordenadas do círculo,1960,3,9.066839329776059e-05
Tanh,coordenadas do círculo,1960,9,0.0002444920224591404
Tanh,coordenadas do círculo,1960,17,0.003992990616173086
Tanh,coordenadas do círculo,1980,1,0.00014862252992995918
Tanh,coordenadas do círculo,1980,3,1.0734055814078713e-05
Tanh,coordenadas do círculo,1980,9,0.0004436105006088029
Tanh,coordenadas do círculo,1980,17,0.0038431169481413165
Tanh,coordenadas do círculo,2000,1,0.00012968617049093903
Tanh,coordenadas do círculo,2000,3,1.6755059072438155e-05
Tanh,coordenadas do círculo,2000,9,0.00043528452499009976
Tanh,coordenadas do círculo,2000,17,0.0037376063819302727
Tanh,coordenadas do círculo,2020,1,6.770172657318218e-06
Tanh,coordenadas do círculo,2020,3,2.894572166163275e-05
Tanh,coordenadas do círculo,2020,9,0.0004469995785767898
Tanh,coordenadas do círculo,2020,17,0.0036310980441052443
Tanh,coordenadas do círculo,2040,1,0.00025766458325912714
Tanh,coordenadas do círculo,2040,3,7.723239140647899e-06
Tanh,coordenadas do círculo,2040,9,0.0003919271940407707
Tanh,coordenadas do círculo,2040,17,0.003542581583567813
Tanh,coordenadas do círculo,2060,1,0.012167922772438703
Tanh,coordenadas do círculo,2060,3,0.0010602411176046055
Tanh,coordenadas do círculo,2060,9,0.0014962667338017115
Tanh,coordenadas do círculo,2060,17,0.0038680553434188416
Tanh,coordenadas do círculo,2080,1,0.0015936268389865128
Tanh,coordenadas do círculo,2080,3,0.00018084132297963436
Tanh,coordenadas do círculo,2080,9,0.0006439294256557809
Tanh,coordenadas do círculo,2080,17,0.0032808105958296624
Tanh,coordenadas do círculo,2100,1,7.214324503371903e-05
Tanh,coordenadas do círculo,2100,3,4.0865155234233666e-05
Tanh,coordenadas do círculo,2100,9,0.00041120869293505594
Tanh,coordenadas do círculo,2100,17,0.0032515951166588114
Tanh,coordenadas do círculo,2120,1,0.0006404689863542413
Tanh,coordenadas do círculo,2120,3,2.6243908382155817e-05
Tanh,coordenadas do círculo,2120,9,0.0003009506828009865
Tanh,coordenadas do círculo,2120,17,0.003196946494511934
Tanh,coordenadas do círculo,2140,1,0.00023954995894412846
Tanh,coordenadas do círculo,2140,3,9.237825852668854e-06
Tanh,coordenadas do círculo,2140,9,0.00035322848662456684
Tanh,coordenadas do círculo,2140,17,0.0031050893887348465
Tanh,coordenadas do círculo,2160,1,4.708213609381334e-05
Tanh,coordenadas do círculo,2160,3,2.755694243018656e-05
Tanh,coordenadas do círculo,2160,9,0.0003743923352246319
Tanh,coordenadas do círculo,2160,17,0.0030210906009297818
Tanh,coordenadas do círculo,2180,1,9.055810718375441e-05
Tanh,coordenadas do círculo,2180,3,2.3389288727346037e-05
Tanh,coordenadas do círculo,2180,9,0.000361322049217171
Tanh,coordenadas do círculo,2180,17,0.002946788324343305
Tanh,coordenadas do círculo,2200,1,0.0016312563908790366
Tanh,coordenadas do círculo,2200,3,0.00011590594080292474
Tanh,coordenadas do círculo,2200,9,0.00012980079606287728
Tanh,coordenadas do círculo,2200,17,0.002921477418779955
Tanh,Fourier explícito,0,1,0.9192925030971665
Tanh,Fourier explícito,0,3,0.91278710499614
Tanh,Fourier explícito,0,9,0.9483737343628099
Tanh,Fourier explícito,0,17,0.9343898300178779
Tanh,Fourier explícito,20,1,0.24148952452347672
Tanh,Fourier explícito,20,3,0.095310592714583
Tanh,Fourier explícito,20,9,0.22342541984112013
Tanh,Fourier explícito,20,17,0.16213575729507146
Tanh,Fourier explícito,40,1,0.09957270700588775
Tanh,Fourier explícito,40,3,0.05641180011761001
Tanh,Fourier explícito,40,9,0.1093097539875609
Tanh,Fourier explícito,40,17,0.102147638140775
Tanh,Fourier explícito,60,1,0.005407912110591003
Tanh,Fourier explícito,60,3,0.012755178498766775
Tanh,Fourier explícito,60,9,0.015986134470885923
Tanh,Fourier explícito,60,17,0.018794623795813443
Tanh,Fourier explícito,80,1,0.0073601583645720664
Tanh,Fourier explícito,80,3,0.012297510381000808
Tanh,Fourier explícito,80,9,0.0029841481761828884
Tanh,Fourier explícito,80,17,0.003841793902486855
Tanh,Fourier explícito,100,1,0.009751124036837493
Tanh,Fourier explícito,100,3,0.0010161273771212512
Tanh,Fourier explícito,100,9,0.011747881553399496
Tanh,Fourier explícito,100,17,0.008859858046636396
Tanh,Fourier explícito,120,1,0.004949482370611694
Tanh,Fourier explícito,120,3,0.0030215109226492246
Tanh,Fourier explícito,120,9,0.006537430227738607
Tanh,Fourier explícito,120,17,0.006957623169997064
Tanh,Fourier explícito,140,1,0.0025898456877093408
Tanh,Fourier explícito,140,3,0.002977939985681778
Tanh,Fourier explícito,140,9,0.004167995552567608
Tanh,Fourier explícito,140,17,0.004975498924119947
Tanh,Fourier explícito,160,1,0.002025214920923081
Tanh,Fourier explícito,160,3,0.002123600492305104
Tanh,Fourier explícito,160,9,0.0033946796071073204
